"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","53.21","53.86","53.83","58.23","61.02","63.14","69.15","72.21","73.25","66.71","61.91","67.2","72.46","74.88","77.06","82.46","73.71","79.7","78.74","78.64","78.45","77.6","75.83","72.98","68.18","62.2","64.51","63.56","63.19","69.1","72.69","70.33","75.28","80.31","84.34","89.21","95.71","101.94","100.59","84.23","75.86","94.44","97.64","95.12","106.57","98.31","109.79","101.33","118.12","116.92","111.46","123.35","120.64","127.59","","",
"Angola","AGO","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","28.69","29.72","30.13","31.5","32.32","32.93","33.82","34.1","36.27","38.05","38.12","36.64","38.82","37.97","36.62","36.25","35.3","35.4","34.52","34.54","33.79","34.32","34.94","35.36","35.84","37.16","37.7","37.56","37.58","37.74","39.36","42.05","41.62","47.35","45.76","48.83","48.64","56.48","54","62.69","71.5","81.03","86.87","93.24","101.89","104.87","118.03","126.71","159.4","168.6","184.96","152.62","207.85","179.53","","",
"Albania","ALB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","27.68","28.41","26.89","30.62","28.73","32.54","34.17","34.89","35.74","36.83","38.78","39.69","42.6","43.63","44.01","48.54","51.03","53.04","54.21","53.04","54.96","57.4","62.51","57.84","56.88","56.6","58.95","56.93","63.69","66.04","56.28","61.81","69.78","77.66","84.38","84.79","79.6","83.32","82.36","86.92","89.81","90.35","94.92","99.58","97.98","102.44","102.73","107.62","112.28","119.21","125.15","132.54","133.13","135.12","","",
"Andorra","AND","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","22.7582028103246","25.1147505202295","25.9605382629982","26.1613589917241","27.2932913369119","25.4794898978065","27.0821223632641","29.259087256008","28.7609953862168","29.1064176102399","31.8118858374917","32.0697073161189","30.9906022617312","33.8680959612851","35.0668568274391","35.7663044021808","35.1073506603395","37.1253873300378","37.8962397283893","40.9490928334037","41.2665013174756","43.0785592497287","43.8167813211311","43.9970699201786","49.1846006255848","51.7847397688187","51.5601351573387","55.0442548339265","55.2535336656725","59.2434556374564","61.7021564128894","63.3378107692196","64.0857317017532","66.4838876491686","67.3222204503697","77.5885210436029","74.3478663183942","80.0925838109731","80.8765688465235","82.6404497792651","83.3889478691522","89.1212117295763","94.3790324293996","96.266578152908","99.0009517084208","104.732470138671","102.263693194476","105.228109374814","110.015611521252","109.276601304926","113.869527021469","115.090517703065","118.768719189584","","","",
"United Arab Emirates","ARE","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","3.74","3.8","3.92","4.06","4.15","4.27","4.41","4.59","4.87","5.23","5.53","5.37","6.15","7.19","7","6.47","7.74","10.08","11.35","13.04","14.21","17.6","20.41","19.51","19.64","19.03","18.39","22.78","26.79","33.2","40.31","49.97","53.17","57.65","67.52","73.88","90.51","91.28","139.69","168.16","105.06","101.72","93.16","101.86","105.39","92.75","92.98","102.38","101.48","111.68","68.26","65.66","67.84","70.31","","",
"Argentina","ARG","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","35.96","38.48","42.22","39.14","37.22","40.9","45.06","42.25","45.89","44.79","41.78","41.71","43.22","46.5","47.51","52.57","52.42","56.41","57.24","52.72","56.99","58.01","56.48","58.17","59.08","60.64","57.62","59.33","54.61","63.03","65.01","65.52","65.64","69.63","73.93","71.47","77.42","83.56","85.43","86.01","86.95","86.36","89.84","91.82","104.63","103.55","113.74","115.15","95.71","112.14","117.05","107.07","118.57","120.3","","",
"Armenia","ARM","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.19","63.1","71.63","71.66","73.76","64.23","69.39","68.07","65.92","68.88","69.77","75.42","88.02","104.38","107.6","118.31","116.48","116.56","102.06","116.03","126.69","133.57","138.83","","",
"American Samoa","ASM","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","64.58","65.23","72.99","74.97","77.7","79.1","74.08","72.55","76.49","74.1","67.14","66.03","64.95","62.92","61.87","60.57","59.57","55.87","49.82","55.8","52.86","52.73","51.6","49.79","48.78","49.72","42.03","44.23","44.48","52.6","50.07","52.35","56.81","60.18","62.82","66.54","69.29","87.02","71.03","78.43","88.08","92.07","100.75","97.45","100.47","102.08","103.8","105.83","108.32","110.09","108.67","105.3","112.79","111.92","","",
